date,season,home,neutral,playoff,team1,team2,result_team1,result_team2,sets_team1,sets_team2,points_team1,points_team2,elo_start_team1,elo_start_team2,elo_adjusted_team1,elo_adjusted_team2,probability_team1,probability_team2,elo_end_team1,elo_end_team2
3/5/2021,2021,Limestone,0,0,Belmont,Limestone,0,1,2,3,104,117,,,,,,,,
3/5/2021,2021,Tusculum,1,0,Bluefield,Erskine,0,1,1,3,70,94,,,,,,,,
3/5/2021,2021,Tusculum,0,0,Erskine,Tusculum,1,0,3,0,75,58,,,,,,,,
3/5/2021,2021,Olive,0,0,Lees,Olive,0,1,2,3,106,117,,,,,,,,
3/5/2021,2021,Tusculum,0,0,Bluefield,Tusculum,0,1,0,3,60,75,,,,,,,,
3/5/2021,2021,Medaille,0,0,Daemen,Medaille,1,0,3,1,99,80,,,,,,,,
3/6/2021,2021,UCLA,0,0,Stanford,UCLA,0,1,1,3,74,96,,,,,,,,
3/6/2021,2021,GMU,0,0,NJIT,GMU,1,0,3,0,75,60,,,,,,,,
3/6/2021,2021,USC,0,0,Concordia,USC,1,0,3,2,102,103,,,,,,,,
3/6/2021,2021,Lewis,0,0,Ball,Lewis,0,1,0,3,51,75,,,,,,,,
3/6/2021,2021,Penn,0,0,Charleston,Penn,0,1,0,3,62,75,,,,,,,,
3/6/2021,2021,SFU,0,0,Sacred,SFU,0,1,0,3,55,75,,,,,,,,
3/6/2021,2021,Barton,0,0,Lees,Barton,0,1,0,3,57,75,,,,,,,,
3/6/2021,2021,Greenville,0,0,Queens,Greenville,0,1,1,3,94,97,,,,,,,,
3/6/2021,2021,Olive,0,0,King,Olive,1,0,3,2,106,99,,,,,,,,
3/6/2021,2021,Fisher,0,0,Daemen,Fisher,1,0,3,2,114,95,,,,,,,,
3/7/2021,2021,UCSB,0,0,UCI,UCSB,0,1,0,3,61,75,,,,,,,,
3/7/2021,2021,UCSB,0,0,UCI,UCSB,0,1,1,3,83,91,,,,,,,,
3/9/2021,2021,LMU,0,0,Emmanuel,LMU,0,1,0,3,62,75,,,,,,,,
3/9/2021,2021,Erskine,0,0,Jamestown,Erskine,1,0,3,1,98,83,,,,,,,,
3/9/2021,2021,Queens,0,0,Lees,Queens,0,1,0,3,44,75,,,,,,,,
3/9/2021,2021,LMU,0,0,Emmanuel,LMU,0,1,3,0,62,75,,,,,,,,
3/9/2021,2021,Medaille,0,0,DYouville,Medaille,1,0,3,0,79,66,,,,,,,,
3/10/2021,2021,Limestone,0,0,Barton,Limestone,0,1,1,3,88,94,,,,,,,,
3/10/2021,2021,Tusculum,0,0,Emmanuel,Tusculum,1,0,3,1,95,91,,,,,,,,
3/10/2021,2021,King,0,0,Queens,King,1,0,3,0,75,64,,,,,,,,
3/10/2021,2021,Lees,0,0,Jamestown,Lees,1,0,3,1,98,75,,,,,,,,
3/11/2021,2021,UCSB,0,0,Hawaii,UCSB,1,0,3,1,91,85,,,,,,,,
3/11/2021,2021,UCLA,0,0,Pepperdine,UCLA,0,1,2,3,86,110,,,,,,,,
3/11/2021,2021,UCI,0,0,UCSD,UCI,0,1,2,3,107,111,,,,,,,,
3/11/2021,2021,Concordia,0,0,USC,Concordia,0,1,0,3,67,75,,,,,,,,
3/11/2021,2021,Ohio,0,0,Ball,Ohio,1,0,3,2,111,102,,,,,,,,
3/12/2021,2021,UCSB,0,0,Hawaii,UCSB,1,0,3,0,75,59,,,,,,,,
3/12/2021,2021,BYU,0,0,Stanford,BYU,0,1,0,3,47,75,,,,,,,,
3/12/2021,2021,UCSD,0,0,UCI,UCSD,0,1,2,3,100,113,,,,,,,,
3/12/2021,2021,Sacred,0,0,NJIT,Sacred,1,0,3,0,75,63,,,,,,,,
3/12/2021,2021,Charleston,0,0,GMU,Charleston,1,0,3,1,96,87,,,,,,,,
3/12/2021,2021,McKendree,0,0,Lewis,McKendree,1,0,3,0,75,62,,,,,,,,
3/12/2021,2021,Lindenwood,0,0,Quincy,Lindenwood,0,1,1,3,79,95,,,,,,,,
3/12/2021,2021,PFW,0,0,Loyola,PFW,1,0,3,1,108,103,,,,,,,,
3/12/2021,2021,Belmont,0,0,King,Belmont,0,1,1,3,88,99,,,,,,,,
3/12/2021,2021,Emmanuel,0,0,Jamestown,Emmanuel,1,0,3,0,75,52,,,,,,,,
3/12/2021,2021,Greenville,0,0,Lees,Greenville,0,1,0,3,48,75,,,,,,,,
3/13/2021,2021,UCSB,0,0,Hawaii,UCSB,1,0,3,0,76,65,,,,,,,,
3/13/2021,2021,BYU,0,0,Stanford,BYU,0,1,0,3,56,75,,,,,,,,
3/13/2021,2021,Pepperdine,0,0,UCLA,Pepperdine,0,1,1,3,92,99,,,,,,,,
3/13/2021,2021,Sacred,0,0,NJIT,Sacred,1,0,3,0,75,60,,,,,,,,
