date,season,home,neutral,playoff,team1,team2,result_team1,result_team2,sets_team1,sets_team2,points_team1,points_team2,elo_start_team1,elo_start_team2,probability_team1,probability_team2,elo_end_team1,elo_end_team2
2/21/2021,2021,Ball,0,0,Lindenwood,Ball,0,1,0,3,63,75,1306.967947680382,1407.5779485645621,0.3591264251621399,0.6408735748378601,1296.1941549255178,1418.3517413194263
2/21/2021,2021,Sacred,0,0,Penn,Sacred,1,0,3,1,98,77,1405.1176496142043,1307.204186430007,0.6372932379015527,0.3627067620984472,1415.9988524771577,1296.3229835670536
2/21/2021,2021,Ohio,0,0,Loyola,Ohio,0,1,0,3,64,77,1421.3428201599659,1324.0471640694198,0.6364707771233279,0.3635292228766721,1402.248696846266,1343.1412873831196
2/22/2021,2021,UCI,0,0,Hawaii,UCI,1,0,3,0,78,53,1365.0,1335.0,0.5430664920222119,0.4569335079777882,1378.7080052393337,1321.2919947606663
2/24/2021,2021,UCSD,0,0,Hawaii,UCSD,1,0,3,0,75,61,1378.7080052393337,1350,0.5412203734647529,0.45877962653524706,1392.471394035391,1336.2366112039426
2/24/2021,2021,USC,0,0,Pepperdine,USC,1,0,3,0,80,68,1376.727572111987,1335.2972352176525,0.5593420398876773,0.4406579601123228,1389.9473109153566,1322.077496414283
2/25/2021,2021,UCSD,0,0,Hawaii,UCSD,1,0,3,0,75,62,1392.471394035391,1336.2366112039426,0.5802289763552854,0.4197710236447147,1405.0645247447326,1323.6434804946011
2/25/2021,2021,GCU,0,0,BYU,GCU,0,1,0,3,95,75,1409.3186893774566,1323.4801772668832,0.62107797581131,0.37892202418869003,1390.6863501031173,1342.1125165412225
2/25/2021,2021,UCLA,0,0,Concordia,UCLA,0,1,0,3,57,75,1306.8835100185072,1377.1785328585954,0.4001954788335568,0.5998045211664432,1294.8776456535004,1389.1843972236022
2/25/2021,2021,NJIT,0,0,SFU,NJIT,0,1,0,3,51,75,1214.7955360367089,1386.2752646787512,0.2714819658823525,0.7285180341176475,1206.6510770602383,1394.4197236552218
2/25/2021,2021,Loyola,0,0,PFW,Loyola,1,0,3,1,95,91,1327.669206662775,1402.248696846266,0.39429014058766565,0.6057098594123344,1345.840502445145,1384.077401063896
2/26/2021,2021,NJIT,0,0,SFU,NJIT,0,1,0,3,50,75,1206.6510770602383,1394.4197236552218,0.2533389125388863,0.7466610874611138,1199.0509096840717,1402.0198910313884
2/26/2021,2021,Pepperdine,0,0,USC,Pepperdine,0,1,0,3,75,57,1322.077496414283,1389.9473109153566,0.4035511943702943,0.5964488056297058,1309.970960583174,1402.0538467464655
2/26/2021,2021,Charleston,0,0,Sacred,Charleston,0,1,0,3,63,78,1296.3229835670536,1317.9669565680783,0.46889205022615554,0.5311079497738445,1282.256222060269,1332.033718074863
2/26/2021,2021,Penn,0,0,GMU,Penn,0,1,1,3,86,100,1407.3795985040892,1415.9988524771577,0.48759844049428697,0.512401559505713,1392.7516452892605,1430.6268056919864
2/26/2021,2021,Lewis,0,0,McKendree,Lewis,1,0,3,1,94,87,1433.1719292758296,1416.5743723738556,0.5238676508671062,0.47613234913289376,1447.4558997498164,1402.2904018998688
2/26/2021,2021,Quincy,0,0,Lindenwood,Quincy,0,1,1,3,89,96,1296.1941549255178,1292.9319794236553,0.5046945099723933,0.4953054900276068,1281.053319626346,1308.0728147228272
2/27/2021,2021,GCU,0,0,BYU,GCU,1,0,3,0,75,51,1390.6863501031173,1342.1125165412225,0.5694514566174007,0.4305485433825993,1403.6028064045954,1329.1960602397444
2/27/2021,2021,Concordia,0,0,UCLA,Concordia,0,1,2,3,104,106,1389.1843972236022,1294.8776456535004,0.6324805672283649,0.36751943277163507,1370.2099802067512,1313.8520626703514
2/27/2021,2021,Ball,0,0,Ohio,Ball,1,0,3,2,107,105,1343.1412873831196,1418.3517413194263,0.39342303202340095,0.606576967976599,1361.3385964224176,1400.1544322801283
2/27/2021,2021,Charleston,0,0,Sacred,Charleston,0,1,1,3,84,97,1282.256222060269,1332.033718074863,0.4288505790374427,0.5711494209625573,1269.3907046891457,1344.8992354459863
