date,season,home,n,p,t1,t2,r_t1,r_t2,s_t1,s_t2,p_t1,p_t2,s1_t1,s1_t2,s2_t1,s2_t2,s3_t1,s3_t2,s4_t1,s4_t2,s5_t1,s5_t2,elo_start_team1,elo_start_team2,elo_adjusted_team1,elo_adjusted_team2,probability_team1,probability_team2,elo_end_team1,elo_end_team2
1/23/2020 0:00:00,2020,NJIT,0,0,PFW,NJIT,0,1,0,3,,,,,,,,,,,,,1539.6492399476692,1518.3758434440724,1537.6492399476692,1568.3758434440724,0.45589578761663624,0.5441042123833637,1530.97236631917,1532.0527170725716
1/24/2020 0:00:00,2020,CSUN,0,0,Menlo,CSUN,1,0,3,1,,,,,,,,,,,,,1373,1460.0987470997727,1372,1510.0987470997727,0.3111045923157872,0.6888954076842128,1397.0001955638597,1441.098551535913
1/24/2020 0:00:00,2020,UCI,0,0,BYU,UCI,1,0,3,1,,,,,,,,,,,,,1623.7905130963682,1515.3056823225768,1621.7905130963682,1565.3056823225768,0.5805795188131896,0.4194204811868104,1639.7064608653056,1504.3897345536393
1/24/2020 0:00:00,2020,Lindenwood,1,0,Quincy,UCSD,0,1,0,3,,,,,,,,,,,,,1441.9697627832063,1517.3611567969501,1441.9697627832063,1511.3611567969501,0.40144473709880785,0.5985552629011921,1434.9264206702421,1529.4044989099143
1/24/2020 0:00:00,2020,Lindenwood,1,0,GCU,McKendree,1,0,3,1,,,,,,,,,,,,,1550.1455417393277,1526.9195700719688,1545.1455417393277,1526.9195700719688,0.5262052479939345,0.47379475200606547,1567.692717632843,1514.3723941784535
1/24/2020 0:00:00,2020,Penn,0,0,UCLA,Penn,0,1,0,3,,,,,,,,,,,,,1550.4685460178819,1530.174600261201,1541.4685460178819,1580.174600261201,0.44452681449887904,0.555473185501121,1542.1327415829155,1543.5104046961674
1/24/2020 0:00:00,2020,Penn,1,0,Ohio,USC,1,0,3,0,,,,,,,,,,,,,1563.9854421378989,1468.097004517682,1562.9854421378989,1459.097004517682,0.645205453625823,0.354794546374177,1579.6292785291241,1457.4531681264568
1/24/2020 0:00:00,2020,Lewis,0,0,Urbana,Lewis,0,1,0,3,,,,,,,,,,,,,1437.5510958748978,1509.3383175737406,1437.5510958748978,1559.3383175737406,0.33157645555250803,0.6684235444474921,1432.6038022083226,1519.2856112403158
1/24/2020 0:00:00,2020,Lindenwood,0,0,Lees,Lindenwood,0,1,0,3,,,,,,,,,,,,,1490.431298106761,1482.8434267443229,1488.431298106761,1532.8434267443229,0.4364316700926565,0.5635683299073435,1482.3383480039813,1495.9363768471026
1/24/2020 0:00:00,2020,Loyola,0,0,Charleston,Loyola,0,1,1,3,,,,,,,,,,,,,1456.6100032722427,1450.4437649013707,1455.6100032722427,1500.4437649013707,0.4358347916323848,0.5641652083676152,1446.8682928566045,1465.185475317009
